ticker,cik,quarter,period_end,first_results_timestamp_utc,first_results_timestamp_et,market_session,event_type,accession,source_url,verification_status,exclusion_reason
MAIN,1396440,2025Q1,2025-03-31,2025-04-16T16:35:16.000Z,2025-04-16T12:35:16-04:00,market-hours,8-K_EX-99_RESULTS,0001396440-25-000045,https://www.sec.gov/Archives/edgar/data/1396440/000139644025000045/main-q12025xprexerxexx991.htm,verified_exhibit_content,0001396440-25-000042: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
ARCC,1287750,2025Q1,2025-03-31,2025-04-28T21:50:25.000Z,2025-04-28T17:50:25-04:00,after-market,10-Q,0001287750-25-000020,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000020/arcc-20250331.htm,verified_filing_fallback,0001287750-25-000018: dividend/distribution announcement without results or NAV
TSLX,1508655,2025Q1,2025-03-31,2025-04-30T20:01:57.000Z,2025-04-30T16:01:57-04:00,after-market,10-Q,0000950170-25-061008,https://www.sec.gov/Archives/edgar/data/1508655/000095017025061008/tslx-20250331.htm,verified_filing_fallback,
OCSL,1414932,2025Q1,2025-03-31,2025-04-30T21:41:41.000Z,2025-04-30T17:41:41-04:00,after-market,10-Q,0001414932-25-000010,https://www.sec.gov/Archives/edgar/data/1414932/000141493225000010/ocsl-20250331.htm,verified_filing_fallback,
HTGC,1280784,2025Q1,2025-03-31,2025-05-01T20:16:15.000Z,2025-05-01T16:16:15-04:00,after-market,10-Q,0001280784-25-000022,https://www.sec.gov/Archives/edgar/data/1280784/000128078425000022/htgc-20250331.htm,verified_filing_fallback,
GBDC,1476765,2025Q1,2025-03-31,2025-05-05T20:07:27.000Z,2025-05-05T16:07:27-04:00,after-market,8-K_EX-99_RESULTS,0001476765-25-000037,https://www.sec.gov/Archives/edgar/data/1476765/000147676525000037/gbdcfy2025q2earningsprxex.htm,verified_exhibit_content,0001476765-25-000026: scheduling announcement; future results date only
NMFC,1496099,2025Q1,2025-03-31,2025-05-05T20:16:38.000Z,2025-05-05T16:16:38-04:00,after-market,8-K_EX-99_RESULTS,0001496099-25-000017,https://www.sec.gov/Archives/edgar/data/1496099/000149609925000017/nmfcearningspressreleaseq1.htm,verified_exhibit_content,
CGBD,1544206,2025Q1,2025-03-31,2025-05-06T20:21:50.000Z,2025-05-06T16:21:50-04:00,after-market,8-K_EX-99_RESULTS,0001544206-25-000046,https://www.sec.gov/Archives/edgar/data/1544206/000154420625000046/cgbd_2025331xxex991earning.htm,verified_exhibit_content,
BXSL,1736035,2025Q1,2025-03-31,2025-05-07T10:02:08.000Z,2025-05-07T06:02:08-04:00,pre-market,10-Q,0001736035-25-000013,https://www.sec.gov/Archives/edgar/data/1736035/000173603525000013/bxsl-20250331.htm,verified_filing_fallback,0001213900-25-040378: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
OBDC,1655888,2025Q1,2025-03-31,2025-05-07T20:15:44.000Z,2025-05-07T16:15:44-04:00,after-market,10-Q,0001655888-25-000012,https://www.sec.gov/Archives/edgar/data/1655888/000165588825000012/obdc-20250331.htm,verified_filing_fallback,0001193125-25-072406: scheduling announcement; future results date only
FSK,1422183,2025Q1,2025-03-31,2025-05-07T20:28:15.000Z,2025-05-07T16:28:15-04:00,after-market,10-Q,0001628280-25-023202,https://www.sec.gov/Archives/edgar/data/1422183/000162828025023202/fsk-20250331.htm,verified_filing_fallback,0001104659-25-033778: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
BBDC,1379785,2025Q1,2025-03-31,2025-05-08T20:15:23.000Z,2025-05-08T16:15:23-04:00,after-market,8-K_EX-99_RESULTS,0001379785-25-000026,https://www.sec.gov/Archives/edgar/data/1379785/000137978525000026/exhibit99120250508earnings.htm,verified_exhibit_content,
PSEC,1287032,2025Q1,2025-03-31,2025-05-08T20:19:42.000Z,2025-05-08T16:19:42-04:00,after-market,10-Q,0001287032-25-000115,https://www.sec.gov/Archives/edgar/data/1287032/000128703225000115/psec-20250331.htm,verified_filing_fallback,
GSBD,1572694,2025Q1,2025-03-31,2025-05-08T20:38:08.000Z,2025-05-08T16:38:08-04:00,after-market,10-Q,0000950170-25-067098,https://www.sec.gov/Archives/edgar/data/1572694/000095017025067098/gsbd-20250331.htm,verified_filing_fallback,
OCIC,1812554,2025Q1,2025-03-31,2025-05-08T20:57:45.000Z,2025-05-08T16:57:45-04:00,after-market,10-Q,0001812554-25-000030,https://www.sec.gov/Archives/edgar/data/1812554/000181255425000030/orcic-20250331.htm,verified_filing_fallback,
MFIC,1278752,2025Q1,2025-03-31,2025-05-12T20:03:10.000Z,2025-05-12T16:03:10-04:00,after-market,10-Q,0000950170-25-069131,https://www.sec.gov/Archives/edgar/data/1278752/000095017025069131/mfic-20250331.htm,verified_filing_fallback,
BCRED,1803498,2025Q1,2025-03-31,2025-05-12T21:13:49.000Z,2025-05-12T17:13:49-04:00,after-market,10-Q,0001803498-25-000038,https://www.sec.gov/Archives/edgar/data/1803498/000180349825000038/bcred-20250331.htm,verified_filing_fallback,
ASIF,1918712,2025Q1,2025-03-31,2025-05-14T20:19:28.000Z,2025-05-14T16:19:28-04:00,after-market,10-Q,0001918712-25-000030,https://www.sec.gov/Archives/edgar/data/1918712/000191871225000030/asif-20250331.htm,verified_filing_fallback,
HPS,1838126,2025Q1,2025-03-31,2025-05-15T00:49:18.000Z,2025-05-14T20:49:18-04:00,after-market,10-Q,0001838126-25-000031,https://www.sec.gov/Archives/edgar/data/1838126/000183812625000031/hps-20250331.htm,verified_filing_fallback,
MAIN,1396440,2025Q2,2025-06-30,2025-07-17T14:11:40.000Z,2025-07-17T10:11:40-04:00,market-hours,8-K_EX-99_RESULTS,0001396440-25-000092,https://www.sec.gov/Archives/edgar/data/1396440/000139644025000092/main-q22025xprexerxexx991.htm,verified_exhibit_content,0001396440-25-000090: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
ARCC,1287750,2025Q2,2025-06-30,2025-07-28T21:11:20.000Z,2025-07-28T17:11:20-04:00,after-market,8-K_EX-99_RESULTS,0001287750-25-000036,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000036/arccq2-2025exhibit991.htm,verified_exhibit_content,
TSLX,1508655,2025Q2,2025-06-30,2025-07-30T20:01:53.000Z,2025-07-30T16:01:53-04:00,after-market,10-Q,0000950170-25-100204,https://www.sec.gov/Archives/edgar/data/1508655/000095017025100204/tslx-20250630.htm,verified_filing_fallback,
HTGC,1280784,2025Q2,2025-06-30,2025-07-31T20:17:31.000Z,2025-07-31T16:17:31-04:00,after-market,10-Q,0001280784-25-000032,https://www.sec.gov/Archives/edgar/data/1280784/000128078425000032/htgc-20250630.htm,verified_filing_fallback,
GBDC,1476765,2025Q2,2025-06-30,2025-08-04T20:02:24.000Z,2025-08-04T16:02:24-04:00,after-market,8-K_EX-99_RESULTS,0001476765-25-000074,https://www.sec.gov/Archives/edgar/data/1476765/000147676525000074/gbdcfy2025q3earningsprxex.htm,verified_exhibit_content,0001476765-25-000066: scheduling announcement; future results date only
NMFC,1496099,2025Q2,2025-06-30,2025-08-04T20:39:28.000Z,2025-08-04T16:39:28-04:00,after-market,8-K_EX-99_RESULTS,0001496099-25-000025,https://www.sec.gov/Archives/edgar/data/1496099/000149609925000025/nmfcearningspressreleaseq2.htm,verified_exhibit_content,
OCSL,1414932,2025Q2,2025-06-30,2025-08-04T21:51:02.000Z,2025-08-04T17:51:02-04:00,after-market,10-Q,0001414932-25-000016,https://www.sec.gov/Archives/edgar/data/1414932/000141493225000016/ocsl-20250630.htm,verified_filing_fallback,
CGBD,1544206,2025Q2,2025-06-30,2025-08-05T20:00:22.000Z,2025-08-05T16:00:22-04:00,after-market,8-K_EX-99_RESULTS,0001544206-25-000065,https://www.sec.gov/Archives/edgar/data/1544206/000154420625000065/cgbd_2025630xxex991earning.htm,verified_exhibit_content,
BXSL,1736035,2025Q2,2025-06-30,2025-08-06T10:09:52.000Z,2025-08-06T06:09:52-04:00,pre-market,10-Q,0001736035-25-000018,https://www.sec.gov/Archives/edgar/data/1736035/000173603525000018/bxsl-20250630.htm,verified_filing_fallback,
OBDC,1655888,2025Q2,2025-06-30,2025-08-06T20:05:51.000Z,2025-08-06T16:05:51-04:00,after-market,10-Q,0001655888-25-000020,https://www.sec.gov/Archives/edgar/data/1655888/000165588825000020/obdc-20250630.htm,verified_filing_fallback,0001193125-25-153464: scheduling announcement; future results date only
FSK,1422183,2025Q2,2025-06-30,2025-08-06T20:29:09.000Z,2025-08-06T16:29:09-04:00,after-market,10-Q,0001628280-25-038368,https://www.sec.gov/Archives/edgar/data/1422183/000162828025038368/fsk-20250630.htm,verified_filing_fallback,0001104659-25-067008: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
OCIC,1812554,2025Q2,2025-06-30,2025-08-07T20:11:51.000Z,2025-08-07T16:11:51-04:00,after-market,10-Q,0001812554-25-000052,https://www.sec.gov/Archives/edgar/data/1812554/000181255425000052/orcic-20250630.htm,verified_filing_fallback,
BBDC,1379785,2025Q2,2025-06-30,2025-08-07T20:18:01.000Z,2025-08-07T16:18:01-04:00,after-market,8-K_EX-99_RESULTS,0001379785-25-000034,https://www.sec.gov/Archives/edgar/data/1379785/000137978525000034/exhibit99120250807earnings.htm,verified_exhibit_content,
GSBD,1572694,2025Q2,2025-06-30,2025-08-07T20:40:28.000Z,2025-08-07T16:40:28-04:00,after-market,10-Q,0000950170-25-105134,https://www.sec.gov/Archives/edgar/data/1572694/000095017025105134/gsbd-20250630.htm,verified_filing_fallback,
ASIF,1918712,2025Q2,2025-06-30,2025-08-08T20:13:45.000Z,2025-08-08T16:13:45-04:00,after-market,10-Q,0001918712-25-000065,https://www.sec.gov/Archives/edgar/data/1918712/000191871225000065/asif-20250630.htm,verified_filing_fallback,
MFIC,1278752,2025Q2,2025-06-30,2025-08-11T20:04:04.000Z,2025-08-11T16:04:04-04:00,after-market,10-Q,0000950170-25-106526,https://www.sec.gov/Archives/edgar/data/1278752/000095017025106526/mfic-20250630.htm,verified_filing_fallback,
BCRED,1803498,2025Q2,2025-06-30,2025-08-12T20:30:23.000Z,2025-08-12T16:30:23-04:00,after-market,10-Q,0001803498-25-000062,https://www.sec.gov/Archives/edgar/data/1803498/000180349825000062/bcred-20250630.htm,verified_filing_fallback,
HPS,1838126,2025Q2,2025-06-30,2025-08-13T21:03:05.000Z,2025-08-13T17:03:05-04:00,after-market,10-Q,0001838126-25-000055,https://www.sec.gov/Archives/edgar/data/1838126/000183812625000055/hps-20250630.htm,verified_filing_fallback,
PSEC,1287032,2025Q2,2025-06-30,2025-08-26T21:25:29.000Z,2025-08-26T17:25:29-04:00,after-market,10-K,0001287032-25-000232,https://www.sec.gov/Archives/edgar/data/1287032/000128703225000232/psec-20250630.htm,verified_filing_fallback,
MAIN,1396440,2025Q3,2025-09-30,2025-10-14T13:39:18.000Z,2025-10-14T09:39:18-04:00,market-hours,8-K_EX-99_RESULTS,0001396440-25-000167,https://www.sec.gov/Archives/edgar/data/1396440/000139644025000167/main-q32025xprexerxexx991.htm,verified_exhibit_content,0001396440-25-000165: Item 2.02 exhibit lacks verified quarterly results/NAV metrics
ARCC,1287750,2025Q3,2025-09-30,2025-10-27T20:29:59.000Z,2025-10-27T16:29:59-04:00,after-market,8-K_EX-99_RESULTS,0001287750-25-000044,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000044/arccq3-2025exhibit991.htm,verified_exhibit_content,
HTGC,1280784,2025Q3,2025-09-30,2025-10-30T20:17:32.000Z,2025-10-30T16:17:32-04:00,after-market,10-Q,0001280784-25-000041,https://www.sec.gov/Archives/edgar/data/1280784/000128078425000041/htgc-20250930.htm,verified_filing_fallback,
NMFC,1496099,2025Q3,2025-09-30,2025-11-03T21:39:20.000Z,2025-11-03T16:39:20-05:00,after-market,8-K_EX-99_RESULTS,0001496099-25-000034,https://www.sec.gov/Archives/edgar/data/1496099/000149609925000034/nmfcearningspressreleaseq3.htm,verified_exhibit_content,
CGBD,1544206,2025Q3,2025-09-30,2025-11-04T21:02:18.000Z,2025-11-04T16:02:18-05:00,after-market,10-Q,0001544206-25-000077,https://www.sec.gov/Archives/edgar/data/1544206/000154420625000077/csl-20250930.htm,verified_filing_fallback,
